"filename", "language", "C++", "C", "Batch", "Markdown", "Perl", "comment", "blank", "total"
"c:\Users\isaque\Documents\Exp\C\PLang\own-language\README.md", "Markdown", 0, 0, 0, 2, 0, 0, 1, 3
"c:\Users\isaque\Documents\Exp\C\PLang\own-language\build.bat", "Batch", 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\isaque\Documents\Exp\C\PLang\own-language\buildrun.bat", "Batch", 0, 0, 2, 0, 0, 0, 0, 2
"c:\Users\isaque\Documents\Exp\C\PLang\own-language\built_in_lib\defaultlib.c", "C", 0, 9, 0, 0, 0, 0, 1, 10
"c:\Users\isaque\Documents\Exp\C\PLang\own-language\built_in_lib\defaultlib.h", "C++", 5, 0, 0, 0, 0, 0, 3, 8
"c:\Users\isaque\Documents\Exp\C\PLang\own-language\built_in_lib\io.c", "C", 0, 15, 0, 0, 0, 0, 2, 17
"c:\Users\isaque\Documents\Exp\C\PLang\own-language\built_in_lib\io.h", "C++", 13, 0, 0, 0, 0, 0, 4, 17
"c:\Users\isaque\Documents\Exp\C\PLang\own-language\debug.bat", "Batch", 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\isaque\Documents\Exp\C\PLang\own-language\libs\list\list.c", "C", 0, 43, 0, 0, 0, 0, 11, 54
"c:\Users\isaque\Documents\Exp\C\PLang\own-language\libs\list\list.h", "C++", 24, 0, 0, 0, 0, 0, 6, 30
"c:\Users\isaque\Documents\Exp\C\PLang\own-language\main.c", "C", 0, 45, 0, 0, 0, 0, 15, 60
"c:\Users\isaque\Documents\Exp\C\PLang\own-language\main.runs.t", "Perl", 0, 0, 0, 0, 14, 0, 1, 15
"c:\Users\isaque\Documents\Exp\C\PLang\own-language\src\conditional.c", "C", 0, 37, 0, 0, 0, 0, 13, 50
"c:\Users\isaque\Documents\Exp\C\PLang\own-language\src\conditional.h", "C++", 23, 0, 0, 0, 0, 0, 8, 31
"c:\Users\isaque\Documents\Exp\C\PLang\own-language\src\context.c", "C", 0, 86, 0, 0, 0, 2, 29, 117
"c:\Users\isaque\Documents\Exp\C\PLang\own-language\src\context.h", "C++", 25, 0, 0, 0, 0, 0, 13, 38
"c:\Users\isaque\Documents\Exp\C\PLang\own-language\src\errors.h", "C++", 16, 0, 0, 0, 0, 0, 5, 21
"c:\Users\isaque\Documents\Exp\C\PLang\own-language\src\exceptions.h", "C++", 2, 0, 0, 0, 0, 0, 0, 2
"c:\Users\isaque\Documents\Exp\C\PLang\own-language\src\expr.c", "C", 0, 87, 0, 0, 0, 1, 24, 112
"c:\Users\isaque\Documents\Exp\C\PLang\own-language\src\expr.h", "C++", 26, 0, 0, 0, 0, 0, 7, 33
"c:\Users\isaque\Documents\Exp\C\PLang\own-language\src\function.c", "C", 0, 61, 0, 0, 0, 0, 9, 70
"c:\Users\isaque\Documents\Exp\C\PLang\own-language\src\function.h", "C++", 21, 0, 0, 0, 0, 1, 12, 34
"c:\Users\isaque\Documents\Exp\C\PLang\own-language\src\lexer.c", "C", 0, 259, 0, 0, 0, 12, 56, 327
"c:\Users\isaque\Documents\Exp\C\PLang\own-language\src\lexer.h", "C++", 50, 0, 0, 0, 0, 9, 21, 80
"c:\Users\isaque\Documents\Exp\C\PLang\own-language\src\parser.c", "C", 0, 773, 0, 0, 0, 28, 160, 961
"c:\Users\isaque\Documents\Exp\C\PLang\own-language\src\parser.h", "C++", 31, 0, 0, 0, 0, 0, 14, 45
"c:\Users\isaque\Documents\Exp\C\PLang\own-language\src\primtypes.c", "C", 0, 32, 0, 0, 0, 6, 13, 51
"c:\Users\isaque\Documents\Exp\C\PLang\own-language\src\primtypes.h", "C++", 12, 0, 0, 0, 0, 11, 11, 34
"c:\Users\isaque\Documents\Exp\C\PLang\own-language\src\variable.c", "C", 0, 81, 0, 0, 0, 23, 33, 137
"c:\Users\isaque\Documents\Exp\C\PLang\own-language\src\variable.h", "C++", 30, 0, 0, 0, 0, 40, 16, 86
"Total", "-", 278, 1528, 4, 2, 14, 133, 488, 2447
